step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
46,9.314573287963867,,,3.96067415730337e-05,0.0013202247191011235,3.0261411666870117,1647.8004455566406,318174.4497118953,
47,9.276045799255371,,,4.044943820224719e-05,0.0013483146067415732,2.906984567642212,1648.0097770690918,318134.0349402669,
48,9.246613502502441,,,4.129213483146067e-05,0.0013764044943820224,2.9639623165130615,1647.7534770965576,318183.5191292253,
49,9.168106079101562,,,4.2134831460674156e-05,0.001404494382022472,2.899049997329712,1648.0281352996826,318130.49108209665,
50,9.16486930847168,,,4.297752808988764e-05,0.0014325842696629215,2.5597469806671143,1647.9418277740479,318147.1525048796,
51,9.10861587524414,,,4.382022471910112e-05,0.0014606741573033708,2.6400554180145264,1647.7696895599365,318180.388510496,
52,9.066970825195312,,,4.46629213483146e-05,0.00148876404494382,2.422379732131958,1648.3519077301025,318068.0032833412,
53,9.01661491394043,,,4.550561797752809e-05,0.0015168539325842699,2.3505239486694336,1647.8781700134277,318159.4425731896,
54,9.00062370300293,,,4.634831460674157e-05,0.001544943820224719,2.4593288898468018,1648.4653949737549,318046.1061533822,
55,8.956512451171875,,,4.7191011235955054e-05,0.0015730337078651685,2.217289447784424,1647.6716995239258,318199.31127753574,
56,8.91366195678711,,,4.803370786516853e-05,0.001601123595505618,2.180177688598633,1648.2648849487305,318084.796192396,
57,8.88464641571045,,,4.887640449438202e-05,0.0016292134831460674,2.0646584033966064,1648.5657691955566,318026.7416663847,
58,8.82573127746582,,,4.9719101123595496e-05,0.0016573033707865167,2.073099374771118,1648.662805557251,318008.0233706672,
59,8.790632247924805,,,5.056179775280899e-05,0.0016853932584269665,2.0579259395599365,1648.7524509429932,317990.7327507758,
60,8.764174461364746,,,5.140449438202246e-05,0.0017134831460674156,2.0256898403167725,1648.5908031463623,318021.91241112584,
61,8.73816204071045,,,5.224719101123595e-05,0.0017415730337078652,1.9636038541793823,1649.0824222564697,317927.10474871664,
