step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
0,10.987344741821289,10.985372543334961,59004.709594337626,8.426966292134831e-07,2.808988764044944e-05,9.245475769042969,65892.93003082275,7956.6654534068175,0.24576777534355707
1,10.981562614440918,,,1.6853932584269661e-06,5.617977528089888e-05,8.685647010803223,1642.86470413208,319130.357284643,
2,10.977343559265137,,,2.5280898876404495e-06,8.426966292134832e-05,9.144030570983887,1634.0043544769287,320860.834038495,
3,10.976240158081055,,,3.3707865168539322e-06,0.00011235955056179776,8.800872802734375,1634.005069732666,320860.6935875523,
4,10.966127395629883,,,4.213483146067415e-06,0.0001404494382022472,8.892168998718262,1633.5499286651611,320950.09206631145,
5,10.961165428161621,,,5.056179775280899e-06,0.00016853932584269665,8.680740356445312,1633.7711811065674,320906.6276006259,
6,10.945863723754883,,,5.898876404494382e-06,0.00019662921348314607,9.147744178771973,1635.913372039795,320486.40775292,
7,10.931842803955078,,,6.7415730337078645e-06,0.00022471910112359551,8.546441078186035,1637.0620727539062,320261.52748015826,
8,10.916089057922363,,,7.584269662921347e-06,0.00025280898876404496,8.87905216217041,1638.9014720916748,319902.0862009898,
9,10.905083656311035,,,8.42696629213483e-06,0.0002808988764044944,8.564898490905762,1641.0884857177734,319475.7653611157,
10,10.878683090209961,,,9.269662921348313e-06,0.0003089887640449438,9.10559368133545,1640.7215595245361,319547.21199124923,
11,10.863239288330078,,,1.0112359550561798e-05,0.0003370786516853933,8.926300048828125,1641.2975788116455,319435.0657481638,
12,10.843072891235352,,,1.095505617977528e-05,0.0003651685393258427,8.71658706665039,1640.6927108764648,319552.8306576819,
13,10.820579528808594,,,1.1797752808988763e-05,0.00039325842696629214,8.37740707397461,1641.348123550415,319425.228857549,
14,10.78714370727539,,,1.2640449438202247e-05,0.00042134831460674164,9.32806396484375,1641.0236358642578,319488.3903813364,
15,10.76080322265625,,,1.3483146067415729e-05,0.00044943820224719103,9.187455177307129,1641.6327953338623,319369.83806014573,
16,10.734025955200195,,,1.4325842696629212e-05,0.0004775280898876404,8.562726974487305,1641.143798828125,319464.99774996744,
17,10.704635620117188,,,1.5168539325842694e-05,0.0005056179775280899,9.087422370910645,1642.383337020874,319223.8913912803,
18,10.691410064697266,,,1.6011235955056176e-05,0.0005337078651685393,8.276576042175293,1641.9634819030762,319305.5179231741,
